Kernel,Sigma,Min Accuracy,Max Accuracy,Average Accuracy
epanechnikov_kernel,0.396,0.7459,0.7663,0.7559
epanechnikov_kernel,0.401,0.7470,0.7663,0.7561
epanechnikov_kernel,0.406,0.7470,0.7663,0.7561
epanechnikov_kernel,0.411,0.7492,0.7674,0.7577
epanechnikov_kernel,0.416,0.7492,0.7674,0.7579
epanechnikov_kernel,0.421,0.7492,0.7674,0.7579
epanechnikov_kernel,0.426,0.7503,0.7685,0.7583
epanechnikov_kernel,0.431,0.7503,0.7685,0.7583
epanechnikov_kernel,0.436,0.7524,0.7696,0.7601
epanechnikov_kernel,0.441,0.7524,0.7696,0.7603
epanechnikov_kernel,0.446,0.7535,0.7696,0.7607
epanechnikov_kernel,0.451,0.7535,0.7696,0.7607
epanechnikov_kernel,0.456,0.7535,0.7696,0.7609
epanechnikov_kernel,0.461,0.7535,0.7696,0.7609
epanechnikov_kernel,0.466,0.7535,0.7696,0.7614
epanechnikov_kernel,0.471,0.7535,0.7717,0.7622
epanechnikov_kernel,0.476,0.7535,0.7717,0.7622
epanechnikov_kernel,0.481,0.7554,0.7707,0.7624
epanechnikov_kernel,0.486,0.7554,0.7707,0.7624
epanechnikov_kernel,0.491,0.7546,0.7707,0.7627
epanechnikov_kernel,0.496,0.7546,0.7707,0.7633
epanechnikov_kernel,0.501,0.7546,0.7717,0.7637
epanechnikov_kernel,0.506,0.7546,0.7728,0.7644
epanechnikov_kernel,0.511,0.7546,0.7739,0.7648
epanechnikov_kernel,0.516,0.7546,0.7750,0.7653
epanechnikov_kernel,0.521,0.7557,0.7750,0.7657
epanechnikov_kernel,0.526,0.7557,0.7750,0.7661
epanechnikov_kernel,0.531,0.7568,0.7750,0.7666
epanechnikov_kernel,0.536,0.7579,0.7750,0.7668
epanechnikov_kernel,0.541,0.7579,0.7750,0.7668
epanechnikov_kernel,0.546,0.7579,0.7750,0.7670
epanechnikov_kernel,0.551,0.7579,0.7750,0.7674
epanechnikov_kernel,0.556,0.7579,0.7750,0.7674
epanechnikov_kernel,0.561,0.7590,0.7750,0.7677
epanechnikov_kernel,0.566,0.7590,0.7750,0.7677
epanechnikov_kernel,0.571,0.7600,0.7772,0.7687
epanechnikov_kernel,0.576,0.7600,0.7772,0.7687
epanechnikov_kernel,0.581,0.7611,0.7772,0.7694
epanechnikov_kernel,0.586,0.7622,0.7772,0.7696
epanechnikov_kernel,0.591,0.7622,0.7783,0.7701
epanechnikov_kernel,0.596,0.7622,0.7793,0.7705
epanechnikov_kernel,0.601,0.7622,0.7793,0.7705
epanechnikov_kernel,0.606,0.7622,0.7793,0.7705
epanechnikov_kernel,0.611,0.7622,0.7793,0.7711
epanechnikov_kernel,0.616,0.7622,0.7793,0.7714
epanechnikov_kernel,0.621,0.7622,0.7793,0.7724
epanechnikov_kernel,0.626,0.7633,0.7804,0.7731
epanechnikov_kernel,0.631,0.7633,0.7804,0.7731
epanechnikov_kernel,0.636,0.7633,0.7804,0.7733
epanechnikov_kernel,0.641,0.7633,0.7793,0.7731
epanechnikov_kernel,0.646,0.7633,0.7804,0.7733
epanechnikov_kernel,0.651,0.7633,0.7804,0.7740
epanechnikov_kernel,0.656,0.7633,0.7826,0.7748
epanechnikov_kernel,0.661,0.7633,0.7826,0.7748
epanechnikov_kernel,0.666,0.7633,0.7826,0.7748
epanechnikov_kernel,0.671,0.7655,0.7826,0.7757
epanechnikov_kernel,0.676,0.7655,0.7826,0.7761
epanechnikov_kernel,0.681,0.7655,0.7837,0.7759
epanechnikov_kernel,0.686,0.7655,0.7837,0.7759
epanechnikov_kernel,0.691,0.7655,0.7837,0.7761
epanechnikov_kernel,0.696,0.7655,0.7837,0.7764
epanechnikov_kernel,0.701,0.7655,0.7837,0.7761
epanechnikov_kernel,0.706,0.7655,0.7848,0.7764
epanechnikov_kernel,0.711,0.7655,0.7848,0.7770
epanechnikov_kernel,0.716,0.7666,0.7848,0.7774
epanechnikov_kernel,0.721,0.7666,0.7859,0.7777
epanechnikov_kernel,0.726,0.7666,0.7859,0.7777
epanechnikov_kernel,0.731,0.7676,0.7859,0.7781
epanechnikov_kernel,0.736,0.7687,0.7859,0.7790
epanechnikov_kernel,0.741,0.7687,0.7859,0.7790
epanechnikov_kernel,0.746,0.7687,0.7859,0.7790
epanechnikov_kernel,0.751,0.7687,0.7870,0.7794
epanechnikov_kernel,0.756,0.7687,0.7870,0.7794
epanechnikov_kernel,0.761,0.7687,0.7870,0.7794
epanechnikov_kernel,0.766,0.7698,0.7880,0.7801
epanechnikov_kernel,0.771,0.7698,0.7902,0.7807
epanechnikov_kernel,0.776,0.7698,0.7902,0.7807
epanechnikov_kernel,0.781,0.7709,0.7913,0.7811
epanechnikov_kernel,0.786,0.7709,0.7913,0.7811
epanechnikov_kernel,0.791,0.7709,0.7913,0.7811
epanechnikov_kernel,0.796,0.7709,0.7924,0.7814
epanechnikov_kernel,0.801,0.7709,0.7935,0.7818
epanechnikov_kernel,0.806,0.7709,0.7935,0.7822
epanechnikov_kernel,0.811,0.7709,0.7935,0.7822
epanechnikov_kernel,0.816,0.7709,0.7935,0.7827
epanechnikov_kernel,0.821,0.7709,0.7946,0.7829
epanechnikov_kernel,0.826,0.7709,0.7946,0.7829
epanechnikov_kernel,0.831,0.7709,0.7946,0.7829
epanechnikov_kernel,0.836,0.7709,0.7946,0.7829
epanechnikov_kernel,0.841,0.7720,0.7946,0.7831
epanechnikov_kernel,0.846,0.7731,0.7946,0.7837
epanechnikov_kernel,0.851,0.7731,0.7946,0.7837
epanechnikov_kernel,0.856,0.7731,0.7957,0.7840
epanechnikov_kernel,0.861,0.7731,0.7967,0.7842
epanechnikov_kernel,0.866,0.7731,0.7967,0.7844
epanechnikov_kernel,0.871,0.7731,0.7967,0.7844
epanechnikov_kernel,0.876,0.7731,0.7967,0.7848
epanechnikov_kernel,0.881,0.7731,0.7967,0.7848
epanechnikov_kernel,0.886,0.7720,0.7967,0.7848
epanechnikov_kernel,0.891,0.7720,0.7967,0.7850
epanechnikov_kernel,0.896,0.7720,0.7967,0.7850
epanechnikov_kernel,0.901,0.7720,0.7967,0.7850
epanechnikov_kernel,0.906,0.7731,0.7967,0.7855
epanechnikov_kernel,0.911,0.7731,0.7967,0.7855
epanechnikov_kernel,0.916,0.7731,0.7978,0.7857
epanechnikov_kernel,0.921,0.7731,0.7978,0.7857
epanechnikov_kernel,0.926,0.7731,0.7978,0.7859
epanechnikov_kernel,0.931,0.7742,0.7978,0.7866
epanechnikov_kernel,0.936,0.7752,0.7978,0.7868
epanechnikov_kernel,0.941,0.7752,0.7978,0.7877
epanechnikov_kernel,0.946,0.7752,0.7978,0.7877
epanechnikov_kernel,0.951,0.7752,0.7989,0.7877
epanechnikov_kernel,0.956,0.7785,0.8000,0.7887
epanechnikov_kernel,0.961,0.7785,0.8011,0.7892
epanechnikov_kernel,0.966,0.7785,0.8011,0.7894
epanechnikov_kernel,0.971,0.7785,0.8011,0.7894
epanechnikov_kernel,0.976,0.7785,0.8011,0.7894
epanechnikov_kernel,0.981,0.7785,0.8011,0.7896
epanechnikov_kernel,0.986,0.7774,0.8011,0.7896
epanechnikov_kernel,0.991,0.7774,0.8011,0.7900
epanechnikov_kernel,0.996,0.7785,0.8011,0.7903
epanechnikov_kernel,1.001,0.7785,0.8011,0.7903
epanechnikov_kernel,1.006,0.7785,0.8000,0.7900
epanechnikov_kernel,1.011,0.7785,0.8011,0.7905
epanechnikov_kernel,1.016,0.7774,0.8011,0.7903
epanechnikov_kernel,1.021,0.7774,0.8011,0.7903
epanechnikov_kernel,1.026,0.7774,0.8022,0.7905
epanechnikov_kernel,1.031,0.7774,0.8022,0.7905
epanechnikov_kernel,1.036,0.7774,0.8022,0.7907
epanechnikov_kernel,1.041,0.7774,0.8033,0.7916
epanechnikov_kernel,1.046,0.7774,0.8033,0.7922
epanechnikov_kernel,1.051,0.7774,0.8033,0.7922
epanechnikov_kernel,1.056,0.7774,0.8033,0.7924
epanechnikov_kernel,1.061,0.7774,0.8043,0.7927
epanechnikov_kernel,1.066,0.7785,0.8043,0.7931
epanechnikov_kernel,1.071,0.7785,0.8054,0.7935
epanechnikov_kernel,1.076,0.7785,0.8054,0.7937
epanechnikov_kernel,1.081,0.7785,0.8054,0.7937
epanechnikov_kernel,1.086,0.7785,0.8054,0.7937
epanechnikov_kernel,1.091,0.7796,0.8054,0.7940
epanechnikov_kernel,1.096,0.7796,0.8054,0.7942
epanechnikov_kernel,1.101,0.7796,0.8054,0.7944
epanechnikov_kernel,1.106,0.7796,0.8054,0.7944
epanechnikov_kernel,1.111,0.7796,0.8054,0.7946
epanechnikov_kernel,1.116,0.7796,0.8065,0.7950
epanechnikov_kernel,1.121,0.7796,0.8054,0.7946
epanechnikov_kernel,1.126,0.7807,0.8054,0.7948
epanechnikov_kernel,1.131,0.7807,0.8054,0.7953
epanechnikov_kernel,1.136,0.7818,0.8054,0.7957
epanechnikov_kernel,1.141,0.7818,0.8065,0.7959
epanechnikov_kernel,1.146,0.7807,0.8065,0.7957
epanechnikov_kernel,1.151,0.7818,0.8065,0.7959
epanechnikov_kernel,1.156,0.7818,0.8065,0.7957
epanechnikov_kernel,1.161,0.7818,0.8076,0.7961
epanechnikov_kernel,1.166,0.7818,0.8076,0.7961
epanechnikov_kernel,1.171,0.7818,0.8087,0.7966
epanechnikov_kernel,1.176,0.7818,0.8087,0.7966
epanechnikov_kernel,1.181,0.7828,0.8087,0.7966
epanechnikov_kernel,1.186,0.7828,0.8087,0.7966
epanechnikov_kernel,1.191,0.7839,0.8087,0.7970
epanechnikov_kernel,1.196,0.7839,0.8087,0.7970
epanechnikov_kernel,1.201,0.7839,0.8087,0.7972
epanechnikov_kernel,1.206,0.7839,0.8087,0.7972
epanechnikov_kernel,1.211,0.7839,0.8087,0.7972
epanechnikov_kernel,1.216,0.7839,0.8087,0.7972
epanechnikov_kernel,1.221,0.7839,0.8098,0.7977
epanechnikov_kernel,1.226,0.7839,0.8098,0.7977
epanechnikov_kernel,1.231,0.7839,0.8098,0.7977
epanechnikov_kernel,1.236,0.7828,0.8098,0.7983
epanechnikov_kernel,1.241,0.7839,0.8098,0.7985
epanechnikov_kernel,1.246,0.7839,0.8098,0.7987
epanechnikov_kernel,1.251,0.7839,0.8098,0.7987
epanechnikov_kernel,1.256,0.7839,0.8098,0.7990
epanechnikov_kernel,1.261,0.7839,0.8098,0.7992
epanechnikov_kernel,1.266,0.7839,0.8098,0.7990
epanechnikov_kernel,1.271,0.7839,0.8098,0.7990
epanechnikov_kernel,1.276,0.7839,0.8098,0.7994
epanechnikov_kernel,1.281,0.7850,0.8098,0.7996
epanechnikov_kernel,1.286,0.7850,0.8098,0.7998
epanechnikov_kernel,1.291,0.7850,0.8109,0.8005
epanechnikov_kernel,1.296,0.7850,0.8109,0.8011
epanechnikov_kernel,1.301,0.7861,0.8109,0.8016
epanechnikov_kernel,1.306,0.7872,0.8109,0.8018
epanechnikov_kernel,1.311,0.7872,0.8098,0.8018
epanechnikov_kernel,1.316,0.7883,0.8098,0.8022
epanechnikov_kernel,1.321,0.7883,0.8098,0.8022
epanechnikov_kernel,1.326,0.7872,0.8098,0.8020
epanechnikov_kernel,1.331,0.7872,0.8141,0.8027
epanechnikov_kernel,1.336,0.7872,0.8141,0.8024
epanechnikov_kernel,1.341,0.7872,0.8141,0.8031
epanechnikov_kernel,1.346,0.7872,0.8141,0.8033
epanechnikov_kernel,1.351,0.7872,0.8141,0.8033
epanechnikov_kernel,1.356,0.7883,0.8130,0.8037
epanechnikov_kernel,1.361,0.7883,0.8130,0.8040
epanechnikov_kernel,1.366,0.7883,0.8130,0.8040
epanechnikov_kernel,1.371,0.7883,0.8130,0.8040
epanechnikov_kernel,1.376,0.7883,0.8130,0.8037
epanechnikov_kernel,1.381,0.7883,0.8141,0.8044
epanechnikov_kernel,1.386,0.7883,0.8141,0.8044
epanechnikov_kernel,1.391,0.7883,0.8152,0.8046
epanechnikov_kernel,1.396,0.7883,0.8163,0.8048
epanechnikov_kernel,1.401,0.7872,0.8163,0.8050
epanechnikov_kernel,1.406,0.7872,0.8163,0.8050
epanechnikov_kernel,1.411,0.7883,0.8174,0.8055
epanechnikov_kernel,1.416,0.7883,0.8174,0.8055
epanechnikov_kernel,1.421,0.7883,0.8174,0.8057
epanechnikov_kernel,1.426,0.7883,0.8185,0.8059
epanechnikov_kernel,1.431,0.7894,0.8185,0.8061
epanechnikov_kernel,1.436,0.7894,0.8185,0.8061
epanechnikov_kernel,1.441,0.7894,0.8185,0.8061
epanechnikov_kernel,1.446,0.7894,0.8185,0.8061
epanechnikov_kernel,1.451,0.7894,0.8185,0.8061
epanechnikov_kernel,1.456,0.7894,0.8185,0.8064
epanechnikov_kernel,1.461,0.7894,0.8185,0.8064
epanechnikov_kernel,1.466,0.7894,0.8185,0.8066
epanechnikov_kernel,1.471,0.7904,0.8185,0.8068
epanechnikov_kernel,1.476,0.7904,0.8185,0.8072
epanechnikov_kernel,1.481,0.7904,0.8196,0.8079
epanechnikov_kernel,1.486,0.7904,0.8196,0.8079
epanechnikov_kernel,1.491,0.7904,0.8196,0.8085
epanechnikov_kernel,1.496,0.7904,0.8196,0.8085
epanechnikov_kernel,1.501,0.7926,0.8196,0.8092
epanechnikov_kernel,1.506,0.7926,0.8207,0.8094
epanechnikov_kernel,1.511,0.7926,0.8207,0.8094
epanechnikov_kernel,1.516,0.7926,0.8207,0.8096
epanechnikov_kernel,1.521,0.7937,0.8207,0.8103
epanechnikov_kernel,1.526,0.7937,0.8207,0.8103
epanechnikov_kernel,1.531,0.7937,0.8217,0.8107
epanechnikov_kernel,1.536,0.7948,0.8217,0.8111
epanechnikov_kernel,1.541,0.7948,0.8228,0.8116
epanechnikov_kernel,1.546,0.7959,0.8228,0.8122
epanechnikov_kernel,1.551,0.7959,0.8228,0.8122
epanechnikov_kernel,1.556,0.7959,0.8239,0.8124
epanechnikov_kernel,1.561,0.7959,0.8239,0.8122
epanechnikov_kernel,1.566,0.7959,0.8239,0.8122
epanechnikov_kernel,1.571,0.7959,0.8239,0.8122
epanechnikov_kernel,1.576,0.7948,0.8239,0.8122
epanechnikov_kernel,1.581,0.7959,0.8239,0.8127
epanechnikov_kernel,1.586,0.7959,0.8239,0.8127
epanechnikov_kernel,1.591,0.7970,0.8239,0.8131
epanechnikov_kernel,1.596,0.7970,0.8239,0.8129
epanechnikov_kernel,1.601,0.7970,0.8239,0.8129
epanechnikov_kernel,1.606,0.7970,0.8239,0.8131
epanechnikov_kernel,1.611,0.7970,0.8239,0.8131
epanechnikov_kernel,1.616,0.7970,0.8239,0.8131
epanechnikov_kernel,1.621,0.7970,0.8239,0.8131
epanechnikov_kernel,1.626,0.7980,0.8228,0.8131
epanechnikov_kernel,1.631,0.7980,0.8228,0.8133
epanechnikov_kernel,1.636,0.7970,0.8217,0.8129
epanechnikov_kernel,1.641,0.7991,0.8217,0.8133
epanechnikov_kernel,1.646,0.7991,0.8217,0.8135
epanechnikov_kernel,1.651,0.7991,0.8217,0.8135
epanechnikov_kernel,1.656,0.7991,0.8228,0.8142
epanechnikov_kernel,1.661,0.8002,0.8217,0.8144
epanechnikov_kernel,1.666,0.8002,0.8228,0.8144
epanechnikov_kernel,1.671,0.8002,0.8228,0.8142
epanechnikov_kernel,1.676,0.8002,0.8217,0.8140
epanechnikov_kernel,1.681,0.8002,0.8217,0.8137
epanechnikov_kernel,1.686,0.8002,0.8217,0.8142
epanechnikov_kernel,1.691,0.8002,0.8217,0.8142
epanechnikov_kernel,1.696,0.8002,0.8217,0.8148
epanechnikov_kernel,1.701,0.8013,0.8217,0.8150
epanechnikov_kernel,1.706,0.8013,0.8228,0.8153
epanechnikov_kernel,1.711,0.8013,0.8239,0.8155
epanechnikov_kernel,1.716,0.8013,0.8239,0.8155
epanechnikov_kernel,1.721,0.8002,0.8228,0.8150
epanechnikov_kernel,1.726,0.8002,0.8228,0.8150
epanechnikov_kernel,1.731,0.8002,0.8228,0.8150
epanechnikov_kernel,1.736,0.8002,0.8228,0.8153
epanechnikov_kernel,1.741,0.8013,0.8228,0.8153
epanechnikov_kernel,1.746,0.8013,0.8228,0.8150
epanechnikov_kernel,1.751,0.8035,0.8228,0.8155
epanechnikov_kernel,1.756,0.8024,0.8228,0.8150
epanechnikov_kernel,1.761,0.8024,0.8228,0.8148
epanechnikov_kernel,1.766,0.8024,0.8228,0.8150
epanechnikov_kernel,1.771,0.8024,0.8228,0.8155
epanechnikov_kernel,1.776,0.8024,0.8239,0.8155
epanechnikov_kernel,1.781,0.8024,0.8239,0.8155
epanechnikov_kernel,1.786,0.8024,0.8239,0.8155
epanechnikov_kernel,1.791,0.8024,0.8239,0.8155
epanechnikov_kernel,1.796,0.8024,0.8250,0.8161
epanechnikov_kernel,1.801,0.8024,0.8250,0.8161
epanechnikov_kernel,1.806,0.8024,0.8250,0.8166
epanechnikov_kernel,1.811,0.8024,0.8250,0.8163
epanechnikov_kernel,1.816,0.8035,0.8261,0.8170
epanechnikov_kernel,1.821,0.8035,0.8261,0.8170
epanechnikov_kernel,1.826,0.8035,0.8261,0.8170
epanechnikov_kernel,1.831,0.8035,0.8261,0.8174
epanechnikov_kernel,1.836,0.8035,0.8261,0.8177
epanechnikov_kernel,1.841,0.8046,0.8272,0.8185
epanechnikov_kernel,1.846,0.8046,0.8250,0.8181
epanechnikov_kernel,1.851,0.8046,0.8250,0.8185
epanechnikov_kernel,1.856,0.8046,0.8250,0.8185
epanechnikov_kernel,1.861,0.8056,0.8250,0.8185
epanechnikov_kernel,1.866,0.8056,0.8250,0.8185
epanechnikov_kernel,1.871,0.8056,0.8250,0.8183
epanechnikov_kernel,1.876,0.8056,0.8261,0.8190
epanechnikov_kernel,1.881,0.8056,0.8261,0.8194
epanechnikov_kernel,1.886,0.8056,0.8261,0.8192
epanechnikov_kernel,1.891,0.8067,0.8283,0.8200
epanechnikov_kernel,1.896,0.8067,0.8293,0.8207
epanechnikov_kernel,1.901,0.8067,0.8293,0.8205
epanechnikov_kernel,1.906,0.8067,0.8293,0.8205
epanechnikov_kernel,1.911,0.8067,0.8293,0.8200
epanechnikov_kernel,1.916,0.8078,0.8293,0.8200
epanechnikov_kernel,1.921,0.8078,0.8293,0.8200
epanechnikov_kernel,1.926,0.8078,0.8293,0.8200
epanechnikov_kernel,1.931,0.8078,0.8293,0.8198
epanechnikov_kernel,1.936,0.8078,0.8304,0.8203
epanechnikov_kernel,1.941,0.8078,0.8304,0.8200
epanechnikov_kernel,1.946,0.8078,0.8304,0.8200
epanechnikov_kernel,1.951,0.8078,0.8293,0.8198
epanechnikov_kernel,1.956,0.8078,0.8293,0.8198
epanechnikov_kernel,1.961,0.8078,0.8293,0.8198
epanechnikov_kernel,1.966,0.8078,0.8293,0.8200
epanechnikov_kernel,1.971,0.8078,0.8293,0.8200
epanechnikov_kernel,1.976,0.8078,0.8293,0.8200
epanechnikov_kernel,1.981,0.8078,0.8293,0.8198
epanechnikov_kernel,1.986,0.8089,0.8293,0.8203
epanechnikov_kernel,1.991,0.8089,0.8293,0.8205
epanechnikov_kernel,1.996,0.8089,0.8293,0.8209
epanechnikov_kernel,2.001,0.8089,0.8293,0.8209
triangular_kernel,0.001,0.6370,0.6609,0.6518
triangular_kernel,0.006,0.6533,0.6739,0.6655
triangular_kernel,0.011,0.6576,0.6804,0.6731
triangular_kernel,0.016,0.6630,0.6880,0.6790
triangular_kernel,0.021,0.6728,0.6935,0.6855
triangular_kernel,0.026,0.6750,0.6946,0.6881
triangular_kernel,0.031,0.6761,0.7011,0.6912
triangular_kernel,0.036,0.6804,0.7022,0.6931
triangular_kernel,0.041,0.6815,0.7076,0.6966
triangular_kernel,0.046,0.6870,0.7152,0.7020
triangular_kernel,0.051,0.6913,0.7174,0.7051
triangular_kernel,0.056,0.6946,0.7196,0.7070
triangular_kernel,0.061,0.6957,0.7196,0.7077
triangular_kernel,0.066,0.6957,0.7207,0.7094
triangular_kernel,0.071,0.6978,0.7228,0.7118
triangular_kernel,0.076,0.7000,0.7250,0.7133
triangular_kernel,0.081,0.7022,0.7293,0.7170
triangular_kernel,0.086,0.7043,0.7304,0.7185
triangular_kernel,0.091,0.7076,0.7326,0.7211
triangular_kernel,0.096,0.7076,0.7337,0.7218
triangular_kernel,0.101,0.7076,0.7337,0.7218
triangular_kernel,0.106,0.7076,0.7348,0.7229
triangular_kernel,0.111,0.7098,0.7348,0.7238
triangular_kernel,0.116,0.7130,0.7380,0.7255
triangular_kernel,0.121,0.7163,0.7402,0.7277
triangular_kernel,0.126,0.7185,0.7435,0.7294
triangular_kernel,0.131,0.7217,0.7446,0.7309
triangular_kernel,0.136,0.7217,0.7446,0.7311
triangular_kernel,0.141,0.7228,0.7446,0.7322
triangular_kernel,0.146,0.7228,0.7457,0.7325
triangular_kernel,0.151,0.7228,0.7457,0.7329
triangular_kernel,0.156,0.7228,0.7457,0.7335
triangular_kernel,0.161,0.7228,0.7467,0.7344
triangular_kernel,0.166,0.7239,0.7511,0.7355
triangular_kernel,0.171,0.7261,0.7511,0.7361
triangular_kernel,0.176,0.7261,0.7511,0.7364
triangular_kernel,0.181,0.7272,0.7522,0.7374
triangular_kernel,0.186,0.7283,0.7522,0.7377
triangular_kernel,0.191,0.7304,0.7533,0.7385
triangular_kernel,0.196,0.7304,0.7533,0.7392
triangular_kernel,0.201,0.7318,0.7533,0.7401
triangular_kernel,0.206,0.7318,0.7533,0.7403
triangular_kernel,0.211,0.7318,0.7543,0.7407
triangular_kernel,0.216,0.7329,0.7543,0.7414
triangular_kernel,0.221,0.7337,0.7543,0.7418
triangular_kernel,0.226,0.7337,0.7554,0.7420
triangular_kernel,0.231,0.7337,0.7554,0.7429
triangular_kernel,0.236,0.7337,0.7554,0.7431
triangular_kernel,0.241,0.7348,0.7554,0.7433
triangular_kernel,0.246,0.7348,0.7576,0.7438
triangular_kernel,0.251,0.7359,0.7576,0.7446
triangular_kernel,0.256,0.7359,0.7576,0.7446
triangular_kernel,0.261,0.7359,0.7576,0.7446
triangular_kernel,0.266,0.7370,0.7576,0.7453
triangular_kernel,0.271,0.7380,0.7576,0.7461
triangular_kernel,0.276,0.7380,0.7576,0.7464
triangular_kernel,0.281,0.7380,0.7576,0.7464
triangular_kernel,0.286,0.7380,0.7587,0.7466
triangular_kernel,0.291,0.7391,0.7587,0.7470
triangular_kernel,0.296,0.7402,0.7598,0.7485
triangular_kernel,0.301,0.7413,0.7598,0.7494
triangular_kernel,0.306,0.7435,0.7620,0.7514
triangular_kernel,0.311,0.7438,0.7620,0.7518
triangular_kernel,0.316,0.7438,0.7620,0.7524
triangular_kernel,0.321,0.7438,0.7620,0.7527
triangular_kernel,0.326,0.7438,0.7620,0.7527
triangular_kernel,0.331,0.7438,0.7620,0.7527
triangular_kernel,0.336,0.7438,0.7641,0.7531
triangular_kernel,0.341,0.7438,0.7641,0.7533
triangular_kernel,0.346,0.7438,0.7641,0.7533
triangular_kernel,0.351,0.7438,0.7641,0.7533
triangular_kernel,0.356,0.7438,0.7641,0.7533
triangular_kernel,0.361,0.7438,0.7641,0.7542
triangular_kernel,0.366,0.7438,0.7641,0.7542
triangular_kernel,0.371,0.7448,0.7663,0.7551
triangular_kernel,0.376,0.7459,0.7663,0.7559
triangular_kernel,0.381,0.7459,0.7663,0.7559
triangular_kernel,0.386,0.7459,0.7663,0.7559
triangular_kernel,0.391,0.7459,0.7663,0.7559
triangular_kernel,0.396,0.7459,0.7663,0.7559
triangular_kernel,0.401,0.7459,0.7663,0.7559
triangular_kernel,0.406,0.7459,0.7663,0.7559
triangular_kernel,0.411,0.7481,0.7674,0.7574
triangular_kernel,0.416,0.7481,0.7674,0.7577
triangular_kernel,0.421,0.7481,0.7674,0.7577
triangular_kernel,0.426,0.7492,0.7685,0.7581
triangular_kernel,0.431,0.7492,0.7685,0.7581
triangular_kernel,0.436,0.7514,0.7696,0.7598
triangular_kernel,0.441,0.7524,0.7696,0.7605
triangular_kernel,0.446,0.7535,0.7696,0.7607
triangular_kernel,0.451,0.7535,0.7696,0.7607
triangular_kernel,0.456,0.7535,0.7696,0.7609
triangular_kernel,0.461,0.7535,0.7696,0.7609
triangular_kernel,0.466,0.7535,0.7696,0.7614
triangular_kernel,0.471,0.7535,0.7717,0.7622
triangular_kernel,0.476,0.7535,0.7717,0.7622
triangular_kernel,0.481,0.7554,0.7707,0.7624
triangular_kernel,0.486,0.7554,0.7707,0.7624
triangular_kernel,0.491,0.7557,0.7707,0.7629
triangular_kernel,0.496,0.7557,0.7707,0.7635
triangular_kernel,0.501,0.7557,0.7717,0.7640
triangular_kernel,0.506,0.7546,0.7728,0.7644
triangular_kernel,0.511,0.7546,0.7739,0.7648
triangular_kernel,0.516,0.7546,0.7750,0.7653
triangular_kernel,0.521,0.7557,0.7750,0.7657
triangular_kernel,0.526,0.7557,0.7750,0.7661
triangular_kernel,0.531,0.7568,0.7750,0.7666
triangular_kernel,0.536,0.7579,0.7750,0.7668
triangular_kernel,0.541,0.7579,0.7750,0.7668
triangular_kernel,0.546,0.7579,0.7750,0.7670
triangular_kernel,0.551,0.7579,0.7750,0.7674
triangular_kernel,0.556,0.7579,0.7750,0.7674
triangular_kernel,0.561,0.7590,0.7750,0.7677
triangular_kernel,0.566,0.7590,0.7750,0.7677
triangular_kernel,0.571,0.7600,0.7772,0.7687
triangular_kernel,0.576,0.7600,0.7772,0.7687
triangular_kernel,0.581,0.7611,0.7772,0.7694
triangular_kernel,0.586,0.7622,0.7772,0.7696
triangular_kernel,0.591,0.7622,0.7783,0.7701
triangular_kernel,0.596,0.7622,0.7793,0.7705
triangular_kernel,0.601,0.7622,0.7793,0.7705
triangular_kernel,0.606,0.7622,0.7793,0.7707
triangular_kernel,0.611,0.7622,0.7793,0.7711
triangular_kernel,0.616,0.7622,0.7793,0.7714
triangular_kernel,0.621,0.7622,0.7793,0.7724
triangular_kernel,0.626,0.7633,0.7804,0.7731
triangular_kernel,0.631,0.7633,0.7804,0.7731
triangular_kernel,0.636,0.7633,0.7804,0.7733
triangular_kernel,0.641,0.7633,0.7793,0.7731
triangular_kernel,0.646,0.7633,0.7804,0.7733
triangular_kernel,0.651,0.7633,0.7804,0.7740
triangular_kernel,0.656,0.7633,0.7826,0.7748
triangular_kernel,0.661,0.7633,0.7826,0.7748
triangular_kernel,0.666,0.7633,0.7826,0.7748
triangular_kernel,0.671,0.7655,0.7826,0.7757
triangular_kernel,0.676,0.7655,0.7826,0.7761
triangular_kernel,0.681,0.7655,0.7837,0.7759
triangular_kernel,0.686,0.7655,0.7837,0.7759
triangular_kernel,0.691,0.7655,0.7837,0.7761
triangular_kernel,0.696,0.7655,0.7837,0.7764
triangular_kernel,0.701,0.7655,0.7837,0.7764
triangular_kernel,0.706,0.7655,0.7848,0.7766
triangular_kernel,0.711,0.7655,0.7848,0.7772
triangular_kernel,0.716,0.7666,0.7848,0.7777
triangular_kernel,0.721,0.7666,0.7859,0.7779
triangular_kernel,0.726,0.7666,0.7859,0.7779
triangular_kernel,0.731,0.7676,0.7859,0.7783
triangular_kernel,0.736,0.7687,0.7859,0.7792
triangular_kernel,0.741,0.7687,0.7859,0.7792
triangular_kernel,0.746,0.7687,0.7859,0.7792
triangular_kernel,0.751,0.7687,0.7870,0.7796
triangular_kernel,0.756,0.7687,0.7870,0.7796
triangular_kernel,0.761,0.7687,0.7870,0.7796
triangular_kernel,0.766,0.7698,0.7880,0.7803
triangular_kernel,0.771,0.7698,0.7902,0.7809
triangular_kernel,0.776,0.7698,0.7902,0.7809
triangular_kernel,0.781,0.7709,0.7913,0.7811
triangular_kernel,0.786,0.7709,0.7913,0.7811
triangular_kernel,0.791,0.7709,0.7913,0.7811
